question,span,paragraphNo,titleNo
"Who returned a punt for 61 yards, setting a new Super Bowl record?","Only seven other teams had ever gained less than 200 yards in a Super Bowl, and all of them had lost.",53,0
"Who returned a punt for 61 yards, setting a new Super Bowl record?",The Broncos' seven sacks tied a Super Bowl record set by the Chicago Bears in Super Bowl XX.,53,0
"Who returned a punt for 61 yards, setting a new Super Bowl record?",Kony Ealy tied a Super Bowl record with three sacks.,53,0
"Who returned a punt for 61 yards, setting a new Super Bowl record?","Jordan Norwood's 61-yard punt return set a new record, surpassing the old record of 45 yards set by John Taylor in Super Bowl XXIII.",53,0
"Who returned a punt for 61 yards, setting a new Super Bowl record?","Denver was just 1-of-14 on third down, while Carolina was barely better at 3-of-15.",53,0
"Who returned a punt for 61 yards, setting a new Super Bowl record?",The two teams' combined third down conversion percentage of 13.8 was a Super Bowl low.,53,0
"Who returned a punt for 61 yards, setting a new Super Bowl record?","Manning and Newton had quarterback passer ratings of 56.6 and 55.4, respectively, and their added total of 112 is a record lowest aggregate passer rating for a Super Bowl.",53,0
"Who returned a punt for 61 yards, setting a new Super Bowl record?","Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player.",53,0
Who is the only quarterback to win a Super Bowl with two teams?,Super Bowl 50 featured numerous records from individuals and teams.,53,0
Who is the only quarterback to win a Super Bowl with two teams?,Denver won despite being massively outgained in total yards (315 to 194) and first downs (21 to 11).,53,0
Who is the only quarterback to win a Super Bowl with two teams?,Their 194 yards and 11 first downs were both the lowest totals ever by a Super Bowl winning team.,53,0
Who is the only quarterback to win a Super Bowl with two teams?,The previous record was 244 yards by the Baltimore Ravens in Super Bowl XXXV.,53,0
Who is the only quarterback to win a Super Bowl with two teams?,"Only seven other teams had ever gained less than 200 yards in a Super Bowl, and all of them had lost.",53,0
Who is the only quarterback to win a Super Bowl with two teams?,The Broncos' seven sacks tied a Super Bowl record set by the Chicago Bears in Super Bowl XX.,53,0
Who is the only quarterback to win a Super Bowl with two teams?,Kony Ealy tied a Super Bowl record with three sacks.,53,0
Who is the only quarterback to win a Super Bowl with two teams?,"Jordan Norwood's 61-yard punt return set a new record, surpassing the old record of 45 yards set by John Taylor in Super Bowl XXIII.",53,0
Who is the only quarterback to win a Super Bowl with two teams?,"Denver was just 1-of-14 on third down, while Carolina was barely better at 3-of-15.",53,0
Who is the only quarterback to win a Super Bowl with two teams?,The two teams' combined third down conversion percentage of 13.8 was a Super Bowl low.,53,0
Who is the only quarterback to win a Super Bowl with two teams?,"Manning and Newton had quarterback passer ratings of 56.6 and 55.4, respectively, and their added total of 112 is a record lowest aggregate passer rating for a Super Bowl.",53,0
Who is the only quarterback to win a Super Bowl with two teams?,"Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player.",53,0
How many yards did Denver have for Super Bowl 50?,Super Bowl 50 featured numerous records from individuals and teams.,53,0
How many yards did Denver have for Super Bowl 50?,Denver won despite being massively outgained in total yards (315 to 194) and first downs (21 to 11).,53,0
How many yards did Denver have for Super Bowl 50?,Their 194 yards and 11 first downs were both the lowest totals ever by a Super Bowl winning team.,53,0
How many yards did Denver have for Super Bowl 50?,The previous record was 244 yards by the Baltimore Ravens in Super Bowl XXXV.,53,0
How many yards did Denver have for Super Bowl 50?,"Only seven other teams had ever gained less than 200 yards in a Super Bowl, and all of them had lost.",53,0
How many yards did Denver have for Super Bowl 50?,The Broncos' seven sacks tied a Super Bowl record set by the Chicago Bears in Super Bowl XX.,53,0
How many yards did Denver have for Super Bowl 50?,Kony Ealy tied a Super Bowl record with three sacks.,53,0
How many yards did Denver have for Super Bowl 50?,"Jordan Norwood's 61-yard punt return set a new record, surpassing the old record of 45 yards set by John Taylor in Super Bowl XXIII.",53,0
How many yards did Denver have for Super Bowl 50?,"Denver was just 1-of-14 on third down, while Carolina was barely better at 3-of-15.",53,0
How many yards did Denver have for Super Bowl 50?,The two teams' combined third down conversion percentage of 13.8 was a Super Bowl low.,53,0
How many yards did Denver have for Super Bowl 50?,"Manning and Newton had quarterback passer ratings of 56.6 and 55.4, respectively, and their added total of 112 is a record lowest aggregate passer rating for a Super Bowl.",53,0
How many yards did Denver have for Super Bowl 50?,"Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player.",53,0
How many first downs did Denver have for Super Bowl 50?,Super Bowl 50 featured numerous records from individuals and teams.,53,0
How many first downs did Denver have for Super Bowl 50?,Denver won despite being massively outgained in total yards (315 to 194) and first downs (21 to 11).,53,0
How many first downs did Denver have for Super Bowl 50?,Their 194 yards and 11 first downs were both the lowest totals ever by a Super Bowl winning team.,53,0
How many first downs did Denver have for Super Bowl 50?,The previous record was 244 yards by the Baltimore Ravens in Super Bowl XXXV.,53,0
How many first downs did Denver have for Super Bowl 50?,"Only seven other teams had ever gained less than 200 yards in a Super Bowl, and all of them had lost.",53,0
How many first downs did Denver have for Super Bowl 50?,The Broncos' seven sacks tied a Super Bowl record set by the Chicago Bears in Super Bowl XX.,53,0
How many first downs did Denver have for Super Bowl 50?,Kony Ealy tied a Super Bowl record with three sacks.,53,0
How many first downs did Denver have for Super Bowl 50?,"Jordan Norwood's 61-yard punt return set a new record, surpassing the old record of 45 yards set by John Taylor in Super Bowl XXIII.",53,0
How many first downs did Denver have for Super Bowl 50?,"Denver was just 1-of-14 on third down, while Carolina was barely better at 3-of-15.",53,0
How many first downs did Denver have for Super Bowl 50?,The two teams' combined third down conversion percentage of 13.8 was a Super Bowl low.,53,0
How many first downs did Denver have for Super Bowl 50?,"Manning and Newton had quarterback passer ratings of 56.6 and 55.4, respectively, and their added total of 112 is a record lowest aggregate passer rating for a Super Bowl.",53,0
How many first downs did Denver have for Super Bowl 50?,"Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player.",53,0
Who did the Broncos tie with the most sacks in a Super Bowl?,Super Bowl 50 featured numerous records from individuals and teams.,53,0
Who did the Broncos tie with the most sacks in a Super Bowl?,Denver won despite being massively outgained in total yards (315 to 194) and first downs (21 to 11).,53,0
Who did the Broncos tie with the most sacks in a Super Bowl?,Their 194 yards and 11 first downs were both the lowest totals ever by a Super Bowl winning team.,53,0
Who did the Broncos tie with the most sacks in a Super Bowl?,The previous record was 244 yards by the Baltimore Ravens in Super Bowl XXXV.,53,0
Who did the Broncos tie with the most sacks in a Super Bowl?,"Only seven other teams had ever gained less than 200 yards in a Super Bowl, and all of them had lost.",53,0
Who did the Broncos tie with the most sacks in a Super Bowl?,The Broncos' seven sacks tied a Super Bowl record set by the Chicago Bears in Super Bowl XX.,53,0
Who did the Broncos tie with the most sacks in a Super Bowl?,Kony Ealy tied a Super Bowl record with three sacks.,53,0
Who did the Broncos tie with the most sacks in a Super Bowl?,"Jordan Norwood's 61-yard punt return set a new record, surpassing the old record of 45 yards set by John Taylor in Super Bowl XXIII.",53,0
Who did the Broncos tie with the most sacks in a Super Bowl?,"Denver was just 1-of-14 on third down, while Carolina was barely better at 3-of-15.",53,0
Who did the Broncos tie with the most sacks in a Super Bowl?,The two teams' combined third down conversion percentage of 13.8 was a Super Bowl low.,53,0
Who did the Broncos tie with the most sacks in a Super Bowl?,"Manning and Newton had quarterback passer ratings of 56.6 and 55.4, respectively, and their added total of 112 is a record lowest aggregate passer rating for a Super Bowl.",53,0
Who did the Broncos tie with the most sacks in a Super Bowl?,"Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player.",53,0
Which team did Gary Kubiak play for when he was in the Super Bowl?,Super Bowl 50 featured numerous records from individuals and teams.,53,0
Which team did Gary Kubiak play for when he was in the Super Bowl?,Denver won despite being massively outgained in total yards (315 to 194) and first downs (21 to 11).,53,0
Which team did Gary Kubiak play for when he was in the Super Bowl?,Their 194 yards and 11 first downs were both the lowest totals ever by a Super Bowl winning team.,53,0
Which team did Gary Kubiak play for when he was in the Super Bowl?,The previous record was 244 yards by the Baltimore Ravens in Super Bowl XXXV.,53,0
Which team did Gary Kubiak play for when he was in the Super Bowl?,"Only seven other teams had ever gained less than 200 yards in a Super Bowl, and all of them had lost.",53,0
Which team did Gary Kubiak play for when he was in the Super Bowl?,The Broncos' seven sacks tied a Super Bowl record set by the Chicago Bears in Super Bowl XX.,53,0
Which team did Gary Kubiak play for when he was in the Super Bowl?,Kony Ealy tied a Super Bowl record with three sacks.,53,0
Which team did Gary Kubiak play for when he was in the Super Bowl?,"Jordan Norwood's 61-yard punt return set a new record, surpassing the old record of 45 yards set by John Taylor in Super Bowl XXIII.",53,0
Which team did Gary Kubiak play for when he was in the Super Bowl?,"Denver was just 1-of-14 on third down, while Carolina was barely better at 3-of-15.",53,0
Which team did Gary Kubiak play for when he was in the Super Bowl?,The two teams' combined third down conversion percentage of 13.8 was a Super Bowl low.,53,0
Which team did Gary Kubiak play for when he was in the Super Bowl?,"Manning and Newton had quarterback passer ratings of 56.6 and 55.4, respectively, and their added total of 112 is a record lowest aggregate passer rating for a Super Bowl.",53,0
Which team did Gary Kubiak play for when he was in the Super Bowl?,"Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player.",53,0
How many first downs did the Panthers have in Super Bowl 50?,Super Bowl 50 featured numerous records from individuals and teams.,53,0
How many first downs did the Panthers have in Super Bowl 50?,Denver won despite being massively outgained in total yards (315 to 194) and first downs (21 to 11).,53,0
How many first downs did the Panthers have in Super Bowl 50?,Their 194 yards and 11 first downs were both the lowest totals ever by a Super Bowl winning team.,53,0
How many first downs did the Panthers have in Super Bowl 50?,The previous record was 244 yards by the Baltimore Ravens in Super Bowl XXXV.,53,0
How many first downs did the Panthers have in Super Bowl 50?,"Only seven other teams had ever gained less than 200 yards in a Super Bowl, and all of them had lost.",53,0
How many first downs did the Panthers have in Super Bowl 50?,The Broncos' seven sacks tied a Super Bowl record set by the Chicago Bears in Super Bowl XX.,53,0
How many first downs did the Panthers have in Super Bowl 50?,Kony Ealy tied a Super Bowl record with three sacks.,53,0
How many first downs did the Panthers have in Super Bowl 50?,"Jordan Norwood's 61-yard punt return set a new record, surpassing the old record of 45 yards set by John Taylor in Super Bowl XXIII.",53,0
How many first downs did the Panthers have in Super Bowl 50?,"Denver was just 1-of-14 on third down, while Carolina was barely better at 3-of-15.",53,0
How many first downs did the Panthers have in Super Bowl 50?,The two teams' combined third down conversion percentage of 13.8 was a Super Bowl low.,53,0
How many first downs did the Panthers have in Super Bowl 50?,"Manning and Newton had quarterback passer ratings of 56.6 and 55.4, respectively, and their added total of 112 is a record lowest aggregate passer rating for a Super Bowl.",53,0
How many first downs did the Panthers have in Super Bowl 50?,"Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player.",53,0
How many first downs did the Broncos have in Super Bowl 50?,Super Bowl 50 featured numerous records from individuals and teams.,53,0
How many first downs did the Broncos have in Super Bowl 50?,Denver won despite being massively outgained in total yards (315 to 194) and first downs (21 to 11).,53,0
How many first downs did the Broncos have in Super Bowl 50?,Their 194 yards and 11 first downs were both the lowest totals ever by a Super Bowl winning team.,53,0
How many first downs did the Broncos have in Super Bowl 50?,The previous record was 244 yards by the Baltimore Ravens in Super Bowl XXXV.,53,0
How many first downs did the Broncos have in Super Bowl 50?,"Only seven other teams had ever gained less than 200 yards in a Super Bowl, and all of them had lost.",53,0
How many first downs did the Broncos have in Super Bowl 50?,The Broncos' seven sacks tied a Super Bowl record set by the Chicago Bears in Super Bowl XX.,53,0
How many first downs did the Broncos have in Super Bowl 50?,Kony Ealy tied a Super Bowl record with three sacks.,53,0
How many first downs did the Broncos have in Super Bowl 50?,"Jordan Norwood's 61-yard punt return set a new record, surpassing the old record of 45 yards set by John Taylor in Super Bowl XXIII.",53,0
How many first downs did the Broncos have in Super Bowl 50?,"Denver was just 1-of-14 on third down, while Carolina was barely better at 3-of-15.",53,0
How many first downs did the Broncos have in Super Bowl 50?,The two teams' combined third down conversion percentage of 13.8 was a Super Bowl low.,53,0
How many first downs did the Broncos have in Super Bowl 50?,"Manning and Newton had quarterback passer ratings of 56.6 and 55.4, respectively, and their added total of 112 is a record lowest aggregate passer rating for a Super Bowl.",53,0
How many first downs did the Broncos have in Super Bowl 50?,"Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player.",53,0
What team had the lowest downs and yards ever in the Super Bowl as of Super Bowl 50?,Super Bowl 50 featured numerous records from individuals and teams.,53,0
What team had the lowest downs and yards ever in the Super Bowl as of Super Bowl 50?,Denver won despite being massively outgained in total yards (315 to 194) and first downs (21 to 11).,53,0
What team had the lowest downs and yards ever in the Super Bowl as of Super Bowl 50?,Their 194 yards and 11 first downs were both the lowest totals ever by a Super Bowl winning team.,53,0
What team had the lowest downs and yards ever in the Super Bowl as of Super Bowl 50?,The previous record was 244 yards by the Baltimore Ravens in Super Bowl XXXV.,53,0
What team had the lowest downs and yards ever in the Super Bowl as of Super Bowl 50?,"Only seven other teams had ever gained less than 200 yards in a Super Bowl, and all of them had lost.",53,0
What team had the lowest downs and yards ever in the Super Bowl as of Super Bowl 50?,The Broncos' seven sacks tied a Super Bowl record set by the Chicago Bears in Super Bowl XX.,53,0
What team had the lowest downs and yards ever in the Super Bowl as of Super Bowl 50?,Kony Ealy tied a Super Bowl record with three sacks.,53,0
What team had the lowest downs and yards ever in the Super Bowl as of Super Bowl 50?,"Jordan Norwood's 61-yard punt return set a new record, surpassing the old record of 45 yards set by John Taylor in Super Bowl XXIII.",53,0
What team had the lowest downs and yards ever in the Super Bowl as of Super Bowl 50?,"Denver was just 1-of-14 on third down, while Carolina was barely better at 3-of-15.",53,0
What team had the lowest downs and yards ever in the Super Bowl as of Super Bowl 50?,The two teams' combined third down conversion percentage of 13.8 was a Super Bowl low.,53,0
What team had the lowest downs and yards ever in the Super Bowl as of Super Bowl 50?,"Manning and Newton had quarterback passer ratings of 56.6 and 55.4, respectively, and their added total of 112 is a record lowest aggregate passer rating for a Super Bowl.",53,0
What team had the lowest downs and yards ever in the Super Bowl as of Super Bowl 50?,"Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player.",53,0
What team di the Broncos tie a Super Bowl record for in sacks?,Super Bowl 50 featured numerous records from individuals and teams.,53,0
What team di the Broncos tie a Super Bowl record for in sacks?,Denver won despite being massively outgained in total yards (315 to 194) and first downs (21 to 11).,53,0
What team di the Broncos tie a Super Bowl record for in sacks?,Their 194 yards and 11 first downs were both the lowest totals ever by a Super Bowl winning team.,53,0
What team di the Broncos tie a Super Bowl record for in sacks?,The previous record was 244 yards by the Baltimore Ravens in Super Bowl XXXV.,53,0
What team di the Broncos tie a Super Bowl record for in sacks?,"Only seven other teams had ever gained less than 200 yards in a Super Bowl, and all of them had lost.",53,0
What team di the Broncos tie a Super Bowl record for in sacks?,The Broncos' seven sacks tied a Super Bowl record set by the Chicago Bears in Super Bowl XX.,53,0
What team di the Broncos tie a Super Bowl record for in sacks?,Kony Ealy tied a Super Bowl record with three sacks.,53,0
What team di the Broncos tie a Super Bowl record for in sacks?,"Jordan Norwood's 61-yard punt return set a new record, surpassing the old record of 45 yards set by John Taylor in Super Bowl XXIII.",53,0
What team di the Broncos tie a Super Bowl record for in sacks?,"Denver was just 1-of-14 on third down, while Carolina was barely better at 3-of-15.",53,0
What team di the Broncos tie a Super Bowl record for in sacks?,The two teams' combined third down conversion percentage of 13.8 was a Super Bowl low.,53,0
What team di the Broncos tie a Super Bowl record for in sacks?,"Manning and Newton had quarterback passer ratings of 56.6 and 55.4, respectively, and their added total of 112 is a record lowest aggregate passer rating for a Super Bowl.",53,0
What team di the Broncos tie a Super Bowl record for in sacks?,"Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player.",53,0
How many teams has Manning won the Super Bowl with?,Super Bowl 50 featured numerous records from individuals and teams.,53,0
How many teams has Manning won the Super Bowl with?,Denver won despite being massively outgained in total yards (315 to 194) and first downs (21 to 11).,53,0
How many teams has Manning won the Super Bowl with?,Their 194 yards and 11 first downs were both the lowest totals ever by a Super Bowl winning team.,53,0
How many teams has Manning won the Super Bowl with?,The previous record was 244 yards by the Baltimore Ravens in Super Bowl XXXV.,53,0
How many teams has Manning won the Super Bowl with?,"Only seven other teams had ever gained less than 200 yards in a Super Bowl, and all of them had lost.",53,0
How many teams has Manning won the Super Bowl with?,The Broncos' seven sacks tied a Super Bowl record set by the Chicago Bears in Super Bowl XX.,53,0
How many teams has Manning won the Super Bowl with?,Kony Ealy tied a Super Bowl record with three sacks.,53,0
How many teams has Manning won the Super Bowl with?,"Jordan Norwood's 61-yard punt return set a new record, surpassing the old record of 45 yards set by John Taylor in Super Bowl XXIII.",53,0
How many teams has Manning won the Super Bowl with?,"Denver was just 1-of-14 on third down, while Carolina was barely better at 3-of-15.",53,0
How many teams has Manning won the Super Bowl with?,The two teams' combined third down conversion percentage of 13.8 was a Super Bowl low.,53,0
How many teams has Manning won the Super Bowl with?,"Manning and Newton had quarterback passer ratings of 56.6 and 55.4, respectively, and their added total of 112 is a record lowest aggregate passer rating for a Super Bowl.",53,0
How many teams has Manning won the Super Bowl with?,"Manning became the oldest quarterback ever to win a Super Bowl at age 39, and the first quarterback ever to win a Super Bowl with two different teams, while Gary Kubiak became the first head coach to win a Super Bowl with the same franchise he went to the Super Bowl with as a player.",53,0
